OP-01 | OP01-120 | Shanks Parallel Manga Alternate Art | super
OP-01 | OP01-003 | Monkey D. Luffy 003 Parallel | alt
OP-01 | OP01-001 | Roronoa Zoro 001 Parallel | alt
OP-01 | OP01-002 | Trafalgar Law 002 Parallel | alt
OP-01 | OP01-016 | Nami Parallel | alt
OP-01 | OP01-060 | Donquixote Doflamingo 060 Parallel | alt
OP-01 | OP01-025 | Roronoa Zoro 025 Parallel | alt
OP-01 | OP01-024 | Monkey D. Luffy 024 Parallel | alt
OP-01 | OP01-078 | Boa Hancock Parallel | alt
OP-01 | OP01-062 | Crocodile 062 Parallel | alt
OP-02 | OP02-013 | Portgas D. Ace Parallel Manga Alternate Art | super
OP-02 | OP02-026 | Sanji Alternate Art | alt
OP-02 | OP02-002 | Monkey D. Garp 002 Alternate Art | alt
OP-02 | OP02-001 | EdwardNewgate 001 Alternate Art | alt
OP-02 | OP02-093 | Smoker 093 Alternate Art | alt
OP-02 | OP02-062 | Monkey D. Luffy 062 Alternate Art | alt
OP-02 | OP02-036 | Nami Alternate Art | alt
OP-02 | OP02-041 | Monkey D. Luffy 041 Alternate Art | alt
OP-02 | OP02-013 | Portgas D. Ace Parallel | alt
OP-02 | OP02-059 | Boa Hancock Box Topper | base
OP-03 | OP03-122 | Sogeking Alternate Art Manga | super
OP-03 | ST01-012 | Monkey D. Luffy Wanted Poster | wanted
OP-03 | OP03-040 | Nami 040 Alternate Art | alt
OP-03 | ST03-009 | Donquixote Doflamingo Wanted Poster | wanted
OP-03 | OP01-051 | EustassCaptainKid Wanted Poster | wanted
OP-03 | OP03-099 | Charlotte Katakuri 099 Alternate Art | alt
OP-03 | OP03-001 | Portgas D. Ace Alternate Art | alt
OP-03 | ST04-003 | Kaido Wanted Poster | wanted
OP-03 | OP03-022 | Arlong Alternate Art | alt
OP-03 | OP03-122 | Sogeking Alternate Art | alt
OP-04 | OP01-078 | Boa Hancock SP | sp
OP-04 | OP04-083 | Sabo Alternate Art Manga | super
OP-04 | OP01-047 | Trafalgar Law SP | sp
OP-04 | OP02-004 | EdwardNewgate SP | sp
OP-04 | OP04-001 | Nefeltari Vivi 001 Alternate Art | alt
OP-04 | OP04-019 | Donquixote Doflamingo 019 Alternate Art | alt
OP-04 | OP02-099 | Sakazuki SP | sp
OP-04 | OP04-064 | Ms All Sunday Alternate Art | alt
OP-04 | OP02-085 | Magellan SP | sp
OP-04 | OP04-058 | Crocodile 058 Alternate Art | alt
OP-05 | OP05-119 | Monkey D. Luffy | base
