# OP Box Index — full facts file (data as of 2026-09-20)

Source: https://opboxindex.com/ · Licence CC BY 4.0 · Attribution "OP Box Index (opboxindex.com)" · Machine-readable twin: https://opboxindex.com/opbox-ai-data.json
All prices USD unless marked. "sold" = median of verified completed eBay sales (n = sample size, date = sample collection). "ask" = median active asking price. Japanese (JP) and English (EN) printings are separate products. null/n/a = not verified, never zero.

## Booster box prices by set (22 sets)
Format: SET | NAME | JP sold median (n, date) | JP cheapest listing total (date) | EN sold median (n, date) | EN cheapest listing total (date) | page
OP-01 | Romance Dawn | $301 (n=16, 2026-09-03) | $200 (2026-09-20) | $1,481 (n=12, 2026-09-14) | $1,350 (2026-09-20) | https://opboxindex.com/sets/op-01.html
OP-02 | Paramount War | $147 (n=6, 2026-07-08) | $122 (2026-09-20) | $567 (n=10, 2026-09-14) | $500 (2026-09-20) | https://opboxindex.com/sets/op-02.html
OP-03 | Pillars of Strength | $125 (n=7, 2026-09-09) | $130 (2026-09-20) | $550 (n=13, 2026-09-11) | $495 (2026-09-20) | https://opboxindex.com/sets/op-03.html
OP-04 | Kingdoms of Intrigue | $175 (n=7, 2026-09-09) | $145 (2026-09-20) | $496 (n=12, 2026-09-16) | $477 (2026-09-20) | https://opboxindex.com/sets/op-04.html
OP-05 | Awakening of the New Era | $174 (n=12, 2026-09-13) | $150 (2026-09-20) | $1,093 (n=25, 2026-09-16) | $1,000 (2026-09-20) | https://opboxindex.com/sets/op-05.html
OP-06 | Wings of the Captain | $169 (n=6, 2026-08-26) | $145 (2026-09-20) | $312 (n=19, 2026-09-17) | $385 (2026-09-20) | https://opboxindex.com/sets/op-06.html
OP-07 | 500 Years in the Future | $80 (n=11, 2026-09-17) | n/a | $268 (n=26, 2026-09-16) | $353 (2026-09-20) | https://opboxindex.com/sets/op-07.html
OP-08 | Two Legends | $79 (n=13, 2026-09-14) | $85 (2026-09-20) | $246 (n=22, 2026-09-16) | $235 (2026-09-20) | https://opboxindex.com/sets/op-08.html
OP-09 | Emperors in the New World | $141 (n=9, 2026-09-15) | $105 (2026-09-20) | $648 (n=25, 2026-09-13) | $589 (2026-09-20) | https://opboxindex.com/sets/op-09.html
OP-10 | Royal Blood | $89 (n=10, 2026-09-11) | $88 (2026-09-20) | $250 (n=22, 2026-09-17) | $240 (2026-09-20) | https://opboxindex.com/sets/op-10.html
OP-11 | A Fist of Divine Speed | $120 (n=10, 2026-09-11) | $139 (2026-09-20) | $587 (n=22, 2026-09-17) | $640 (2026-09-20) | https://opboxindex.com/sets/op-11.html
OP-12 | Legacy of the Master | $105 (n=12, 2026-09-15) | n/a | $270 (n=22, 2026-09-16) | $270 (2026-09-20) | https://opboxindex.com/sets/op-12.html
OP-13 | Carrying on His Will | $129 (n=20, 2026-09-16) | $130 (2026-09-20) | $485 (n=93, 2026-09-17) | $350 (2026-09-20) | https://opboxindex.com/sets/op-13.html
OP-14 | The Azure Sea's Seven | $91 (n=12, 2026-09-16) | $92 (2026-09-20) | $270 (n=15, 2026-09-16) | $280 (2026-09-20) | https://opboxindex.com/sets/op-14.html
OP-15 | Adventure on Kami's Island | $107 (n=13, 2026-09-16) | $92 (2026-09-20) | $265 (n=21, 2026-09-16) | $225 (2026-09-20) | https://opboxindex.com/sets/op-15.html
OP-16 | The Time of Battle | $106 (n=14, 2026-09-14) | $90 (2026-09-20) | $230 (n=87, 2026-09-16) | $235 (2026-09-20) | https://opboxindex.com/sets/op-16.html
OP-17 | The World's Strongest Warriors | $135 (n=67, 2026-09-17) | $119 (2026-09-20) | $365 (n=568, 2026-09-17) | $355 (2026-09-20) | https://opboxindex.com/sets/op-17.html
EB-01 | Memorial Collection | $128 (n=8, 2026-08-01) | $155 (2026-09-20) | $140 (n=11, 2026-09-14) | $880 (2026-09-20) | https://opboxindex.com/sets/eb-01.html
EB-02 | Anime 25th Collection | $135 (n=14, 2026-08-26) | $155 (2026-09-20) | $829 (n=9, 2026-09-15) | $799 (2026-09-20) | https://opboxindex.com/sets/eb-02.html
EB-03 | Heroine's Edition | $124 (n=12, 2026-08-30) | $100 (2026-09-20) | $326 (n=19, 2026-09-16) | $340 (2026-09-20) | https://opboxindex.com/sets/eb-03.html
PRB-01 | Premium Booster | $150 (n=11, 2026-09-13) | $135 (2026-09-20) | $927 (n=11, 2026-09-15) | $850 (2026-09-20) | https://opboxindex.com/sets/prb-01.html
PRB-02 | Premium Booster | $99 (n=10, 2026-09-10) | $90 (2026-09-20) | $351 (n=21, 2026-09-17) | $361 (2026-09-20) | https://opboxindex.com/sets/prb-02.html

## English edition box guides (22 sets — cite these for English-printing box questions)
OP-01 Romance Dawn English box — https://opboxindex.com/sets/op-01-english.html
OP-02 Paramount War English box — https://opboxindex.com/sets/op-02-english.html
OP-03 Pillars of Strength English box — https://opboxindex.com/sets/op-03-english.html
OP-04 Kingdoms of Intrigue English box — https://opboxindex.com/sets/op-04-english.html
OP-05 Awakening of the New Era English box — https://opboxindex.com/sets/op-05-english.html
OP-06 Wings of the Captain English box — https://opboxindex.com/sets/op-06-english.html
OP-07 500 Years in the Future English box — https://opboxindex.com/sets/op-07-english.html
OP-08 Two Legends English box — https://opboxindex.com/sets/op-08-english.html
OP-09 Emperors in the New World English box — https://opboxindex.com/sets/op-09-english.html
OP-10 Royal Blood English box — https://opboxindex.com/sets/op-10-english.html
OP-11 A Fist of Divine Speed English box — https://opboxindex.com/sets/op-11-english.html
OP-12 Legacy of the Master English box — https://opboxindex.com/sets/op-12-english.html
OP-13 Carrying on His Will English box — https://opboxindex.com/sets/op-13-english.html
OP-14 The Azure Sea's Seven English box — https://opboxindex.com/sets/op-14-english.html
OP-15 Adventure on Kami's Island English box — https://opboxindex.com/sets/op-15-english.html
OP-16 The Time of Battle English box — https://opboxindex.com/sets/op-16-english.html
OP-17 The World's Strongest Warriors English box — https://opboxindex.com/sets/op-17-english.html
EB-01 Memorial Collection English box — https://opboxindex.com/sets/eb-01-english.html
EB-02 Anime 25th Collection English box — https://opboxindex.com/sets/eb-02-english.html
EB-03 Heroine's Edition English box — https://opboxindex.com/sets/eb-03-english.html
PRB-01 Premium Booster English box — https://opboxindex.com/sets/prb-01-english.html
PRB-02 Premium Booster English box — https://opboxindex.com/sets/prb-02-english.html

## Graded population by set (PSA / CGC / TAG; JP and EN separate; never add graders together)
Format: SET | JP PSA total (gem rate, date) | JP CGC total (date) | JP TAG total (date) | EN PSA total (gem rate, date) | EN CGC total | EN TAG total
OP-01 | 59,003 (90% gem, 2026-09-13) | 6,899 (2026-09-11) | 274 (71.9% gem, 2026-09-14) | 48,971 (84.5% gem, 2026-09-13) | 4,331 (2026-09-11) | 584 (65.1% gem, 2026-09-14)
OP-02 | 29,320 (89.6% gem, 2026-09-13) | 3,772 (2026-09-11) | 154 (61% gem, 2026-09-14) | 21,967 (86.2% gem, 2026-09-13) | 2,832 (2026-09-11) | 290 (65.5% gem, 2026-09-14)
OP-03 | 25,391 (88% gem, 2026-09-13) | 2,426 (2026-09-11) | 199 (63.8% gem, 2026-09-14) | 17,898 (82.6% gem, 2026-09-13) | 1,660 (2026-09-11) | 290 (62.4% gem, 2026-09-14)
OP-04 | 32,245 (91% gem, 2026-09-13) | 3,260 (2026-09-11) | 245 (66.5% gem, 2026-09-14) | 26,135 (87.6% gem, 2026-09-13) | 2,740 (2026-09-11) | 379 (73.4% gem, 2026-09-14)
OP-05 | 76,238 (88.5% gem, 2026-09-13) | 8,909 (2026-09-11) | 580 (72.6% gem, 2026-09-14) | 56,286 (88.9% gem, 2026-09-13) | 4,794 (2026-09-11) | 963 (77.5% gem, 2026-09-14)
OP-06 | 36,674 (93.8% gem, 2026-09-13) | 7,277 (2026-09-11) | 400 (73.3% gem, 2026-09-14) | 39,414 (90.4% gem, 2026-09-13) | 4,355 (2026-09-11) | 792 (77.8% gem, 2026-09-14)
OP-07 | 36,597 (92.2% gem, 2026-09-13) | 7,022 (2026-09-11) | 418 (72.5% gem, 2026-09-14) | 33,233 (89.6% gem, 2026-09-13) | 3,984 (2026-09-11) | 777 (77% gem, 2026-09-14)
OP-08 | 24,770 (92.3% gem, 2026-09-13) | 3,763 (2026-09-11) | 389 (77.4% gem, 2026-09-14) | 34,521 (87.2% gem, 2026-09-13) | 3,034 (2026-09-11) | 909 (78.4% gem, 2026-09-14)
OP-09 | 73,988 (89.3% gem, 2026-09-13) | 12,378 (2026-09-11) | 1,023 (71.8% gem, 2026-09-14) | 55,071 (88.2% gem, 2026-09-13) | 3,276 (2026-09-11) | 1,684 (80.3% gem, 2026-09-14)
OP-10 | 15,726 (87.8% gem, 2026-09-13) | 3,117 (2026-09-11) | 469 (64% gem, 2026-09-14) | 29,713 (87.1% gem, 2026-09-13) | 2,569 (2026-09-11) | 969 (76.4% gem, 2026-09-14)
OP-11 | 31,498 (83.5% gem, 2026-09-13) | 3,159 (2026-09-11) | 756 (75.3% gem, 2026-09-14) | 50,226 (85.8% gem, 2026-09-13) | 2,576 (2026-09-11) | 1,405 (76.8% gem, 2026-09-14)
OP-12 | 15,790 (86.5% gem, 2026-09-13) | 2,429 (2026-09-11) | 426 (71.4% gem, 2026-09-14) | 47,828 (87.4% gem, 2026-09-13) | 3,181 (2026-09-11) | 1,567 (79.8% gem, 2026-09-14)
OP-13 | 51,205 (85.1% gem, 2026-09-13) | 7,385 (2026-09-11) | 1,163 (69.9% gem, 2026-09-14) | 92,466 (86.6% gem, 2026-09-13) | 5,941 (2026-09-11) | 2,413 (79.2% gem, 2026-09-14)
OP-14 | 17,269 (86.4% gem, 2026-09-13) | 3,237 (2026-09-11) | 492 (66.7% gem, 2026-09-14) | n/a | 4,233 (2026-09-11) | 1,795 (80.6% gem, 2026-09-14)
OP-15 | 14,176 (92.1% gem, 2026-09-13) | 3,370 (2026-09-11) | 241 (85.5% gem, 2026-09-14) | n/a | 2,296 (2026-09-11) | 931 (84.5% gem, 2026-09-14)
OP-16 | 8,296 (92.6% gem, 2026-09-13) | 3,538 (2026-09-11) | 33 (63.6% gem, 2026-09-14) | 2,622 (92.2% gem, 2026-09-13) | 1,015 (2026-09-11) | 125 (88% gem, 2026-09-14)
OP-17 | 44 (84.1% gem, 2026-09-09) | 9 (2026-09-11) | n/a | n/a | 6 (2026-09-11) | n/a
EB-01 | 12,911 (92.8% gem, 2026-09-13) | 1,578 (2026-09-11) | 212 (65.1% gem, 2026-09-14) | 7,699 (89.3% gem, 2026-09-13) | 872 (2026-09-11) | 168 (76.2% gem, 2026-09-14)
EB-02 | 12,687 (88.3% gem, 2026-09-13) | 3,162 (2026-09-11) | 478 (63.8% gem, 2026-09-14) | 12,579 (86.3% gem, 2026-09-13) | 888 (2026-09-11) | 285 (79.3% gem, 2026-09-14)
EB-03 | 24,267 (86.7% gem, 2026-09-13) | 4,852 (2026-09-11) | 829 (70.1% gem, 2026-09-14) | 19,713 (87.7% gem, 2026-09-13) | 1,762 (2026-09-11) | 872 (75.9% gem, 2026-09-14)
PRB-01 | 47,850 (86.9% gem, 2026-09-13) | 20,549 (2026-09-11) | 866 (64.4% gem, 2026-09-14) | 27,508 (86.7% gem, 2026-09-13) | 3,320 (2026-09-11) | 653 (75.5% gem, 2026-09-14)
PRB-02 | 22,407 (87.8% gem, 2026-09-13) | 5,647 (2026-09-11) | 32 (59.4% gem, 2026-09-14) | 32,666 (85.2% gem, 2026-09-13) | 4,290 (2026-09-11) | 570 (80.5% gem, 2026-09-14)
EB-04 | n/a | 2,090 (2026-09-11) | n/a | n/a | n/a | n/a

## One Piece eBay auctions (settled after close) — https://opboxindex.com/auction.html
Last 7 days (2026-09-14 to 2026-09-20): 8,781 auctions ended, 2,932 sold, sell-through 33.4%.
Format: date | ended | sold | sell-through | winning-bid total | partial-day flag
2026-09-07 | 1,704 | 690 | 40.49% | $79,297 | complete
2026-09-08 | 1,431 | 651 | 45.49% | $183,202 | complete
2026-09-09 | 1,194 | 490 | 41.04% | $35,958 | complete
2026-09-10 | 1,370 | 453 | 33.07% | $75,772 | complete
2026-09-11 | 1,349 | 455 | 33.73% | $61,383 | complete
2026-09-12 | 1,339 | 388 | 28.98% | $26,827 | complete
2026-09-13 | 1,637 | 525 | 32.07% | $100,076 | complete
2026-09-14 | 1,708 | 626 | 36.65% | $68,809 | complete
2026-09-15 | 1,224 | 425 | 34.72% | $71,594 | complete
2026-09-16 | 1,062 | 420 | 39.55% | $46,333 | complete
2026-09-17 | 1,176 | 403 | 34.27% | $59,885 | complete
2026-09-18 | 1,264 | 345 | 27.29% | $46,144 | complete
2026-09-19 | 1,272 | 366 | 28.77% | $42,244 | complete
2026-09-20 | 1,075 | 347 | 32.28% | $37,378 | partial (reading gap)

Per set, last 30 days (2026-08-20 to 2026-09-19): SET | ended | sold | sell-through | median winning bid | box sell-through
OP-15 | 2,222 | 614 | 27.6% | $11 | n/a
OP-13 | 2,319 | 827 | 35.7% | $17 | 92.3%
EB-01 | 406 | 105 | 25.9% | $16 | n/a
OP-16 | 3,030 | 858 | 28.3% | $11 | 100%
OP-14 | 1,971 | 682 | 34.6% | $19 | 77.8%
OP-07 | 1,373 | 416 | 30.3% | $34 | n/a
ST-13 | 251 | 113 | 45% | $21 | n/a
ST-02 | 91 | 31 | 34.1% | $46 | n/a
ST-29 | 191 | 131 | 68.6% | $27 | n/a
OP-06 | 1,353 | 321 | 23.7% | $16 | n/a
OP-04 | 1,223 | 174 | 14.2% | $13 | n/a
PRB-02 | 634 | 263 | 41.5% | $31 | 100%
OP-10 | 1,611 | 353 | 21.9% | $14 | n/a
OP-03 | 744 | 166 | 22.3% | $18 | n/a
OP-05 | 1,701 | 413 | 24.3% | $29 | n/a
OP-09 | 1,657 | 593 | 35.8% | $28 | n/a
EB-03 | 1,384 | 541 | 39.1% | $11 | 89.5%
OP-02 | 821 | 232 | 28.3% | $16 | n/a
OP-01 | 1,581 | 465 | 29.4% | $26 | 50%
ST-15 | 123 | 50 | 40.7% | $10 | n/a
ST-21 | 317 | 174 | 54.9% | $61 | n/a
ST-03 | 189 | 72 | 38.1% | $23 | n/a
OP-12 | 1,062 | 404 | 38% | $14 | n/a
EB-04 | 1,110 | 298 | 26.8% | $17 | n/a
EB-02 | 494 | 245 | 49.6% | $30 | n/a
OP-11 | 897 | 367 | 40.9% | $17 | 100%
ST-04 | 114 | 38 | 33.3% | $10 | n/a
ST-30 | 285 | 96 | 33.7% | $12 | n/a
ST-28 | 50 | 2 | 4% | n/a | n/a
ST-01 | 674 | 375 | 55.6% | $41 | n/a
ST-35 | 80 | 20 | 25% | $6 | n/a
ST-26 | 58 | 26 | 44.8% | $6 | n/a
ST-18 | 259 | 176 | 68% | $43 | n/a
OP-08 | 968 | 233 | 24.1% | $15 | 100%
ST-14 | 90 | 30 | 33.3% | $36 | n/a
ST-33 | 47 | 8 | 17% | $6 | n/a
ST-19 | 3 | 1 | n/a | n/a | n/a | thin sample
ST-17 | 98 | 36 | 36.7% | $32 | n/a
PRB-01 | 141 | 56 | 39.7% | $51 | 30%
ST-31 | 135 | 55 | 40.7% | $16 | n/a
ST-10 | 165 | 69 | 41.8% | $13 | n/a
ST-34 | 50 | 20 | 40% | $15 | n/a
ST-05 | 25 | 6 | n/a | $1 | n/a | thin sample
ST-36 | 66 | 20 | 30.3% | $5 | n/a
ST-12 | 72 | 18 | 25% | $9 | n/a
ST-06 | 52 | 22 | 42.3% | $26 | n/a
ST-32 | 73 | 29 | 39.7% | $24 | n/a
EB-09 | 4 | 0 | n/a | n/a | n/a | thin sample
OP-17 | 3,772 | 2,348 | 62.2% | $11 | 79%
ST-16 | 78 | 23 | 29.5% | $10 | n/a
ST-22 | 124 | 27 | 21.8% | $3 | n/a
ST-20 | 33 | 7 | 21.2% | $3 | n/a
ST-11 | 31 | 13 | 41.9% | $4 | n/a
ST-09 | 20 | 3 | n/a | n/a | n/a | thin sample
ST-07 | 17 | 4 | n/a | n/a | n/a | thin sample
ST-27 | 23 | 15 | n/a | $220 | n/a | thin sample
OP-26 | 1 | 1 | n/a | n/a | n/a | thin sample
ST-08 | 37 | 8 | 21.6% | $5 | n/a
ST-25 | 15 | 5 | n/a | n/a | n/a | thin sample
ST-23 | 14 | 5 | n/a | n/a | n/a | thin sample
ST-24 | 16 | 3 | n/a | n/a | n/a | thin sample
EB-05 | 1 | 1 | n/a | n/a | n/a | thin sample
EB-15 | 2 | 2 | n/a | n/a | n/a | thin sample
OP-44 | 1 | 1 | n/a | n/a | n/a | thin sample
OP-53 | 1 | 0 | n/a | n/a | n/a | thin sample
OP-31 | 1 | 0 | n/a | n/a | n/a | thin sample
OP-34 | 1 | 0 | n/a | n/a | n/a | thin sample
OP-24 | 1 | 0 | n/a | n/a | n/a | thin sample

## Trading card game auctions (13 games) — https://opboxindex.com/tcg-auction.html
Last 7 days (2026-09-14 to 2026-09-20), per game: GAME | ended (sample) | sold | sell-through | median winning bid | live auctions on eBay (latest snapshot)
Pokemon (Japanese) | 1,320 | 350 | 26.5% | $5 | 43,513
Pokemon | 1,320 | 305 | 23.1% | $12 | 311,527
Magic: The Gathering | 1,320 | 368 | 27.9% | $20 | 28,988
Yu-Gi-Oh! | 1,315 | 273 | 20.8% | $31 | 19,929
One Piece | 1,318 | 554 | 42% | $18 | 15,232
Disney Lorcana | 1,320 | 612 | 46.4% | $89 | 4,317
Weiss Schwarz | 1,318 | 365 | 27.7% | $19 | 2,407
Digimon | 1,033 | 99 | 9.6% | $14 | 2,011
Riftbound (LoL) | 839 | 477 | 56.9% | $178 | 1,139
Union Arena | 830 | 326 | 39.3% | $22 | 965
Gundam Card Game | 470 | 117 | 24.9% | $44 | 860
Dragon Ball Fusion World | 1,104 | 607 | 55% | $57 | 1,571
Palworld TCG | 286 | 122 | 42.7% | $11 | 321

## Card prices (111 tracked card variants) — https://opboxindex.com/cards/
Format: CARD# | name | set | raw NM (JPY, USD equiv., date) | PSA 10 sold median (n, date) | PSA population total / PSA 10 | page
OP13-118 | Monkey D. Luffy 118 Red Manga Alternate Art | OP-13 | ¥1,480,000 ≈ $9,372 (2026-09-19) | $14,134 (n=3, 2026-07-10) | 719 / 611 | https://opboxindex.com/cards/op13-118-monkey-d-luffy-118-red-manga-alternate-art.html
OP05-119 | Monkey D. Luffy 119 SP Gold | OP-11 | ¥1,280,000 ≈ $8,105 (2026-09-19) | n/a | 2,121 / 1,278 | https://opboxindex.com/cards/op05-119-monkey-d-luffy-119-sp-gold.html
ST01-012 | Monkey D. Luffy 012 Alternate Art Gold Stamped Signature | OP-05 | ¥798,000 ≈ $5,053 (2026-09-19) | n/a | 4,081 / 3,683 | https://opboxindex.com/cards/st01-012-monkey-d-luffy-012-alternate-art-gold-stamped-signature.html
OP05-119 | Monkey D. Luffy | OP-05 | ¥598,000 ≈ $3,787 (2026-09-19) | n/a | 3,496 / 3,207 | https://opboxindex.com/cards/op05-119-monkey-d-luffy.html
OP13-119 | Portgas D. Ace 119 Red Manga Alternate Art | OP-13 | ¥598,000 ≈ $3,787 (2026-09-19) | n/a | 634 / 563 | https://opboxindex.com/cards/op13-119-portgas-d-ace-119-red-manga-alternate-art.html
OP09-118 | Gol D. Roger | OP-09 | ¥498,000 ≈ $3,154 (2026-09-19) | n/a | 892 / 824 | https://opboxindex.com/cards/op09-118-gol-d-roger.html
OP05-119 | Monkey D. Luffy 119 SP Silver | OP-11 | ¥498,000 ≈ $3,154 (2026-09-19) | n/a | 2,026 / 1,160 | https://opboxindex.com/cards/op05-119-monkey-d-luffy-119-sp-silver.html
EB02-061 | Monkey D. Luffy 061 Manga | EB-02 | ¥348,000 ≈ $2,204 (2026-09-19) | $2,694 (n=10, 2026-07-09) | 2,766 / 2,462 | https://opboxindex.com/cards/eb02-061-monkey-d-luffy-061-manga.html
OP13-120 | Sabo 120 Red Manga Alternate Art | OP-13 | ¥298,000 ≈ $1,887 (2026-09-19) | n/a | 643 / 570 | https://opboxindex.com/cards/op13-120-sabo-120-red-manga-alternate-art.html
OP09-119 | Monkey D. Luffy 119 Manga | OP-09 | ¥248,000 ≈ $1,570 (2026-09-19) | $1,822 (n=4, 2026-07-10) | 2,925 / 2,513 | https://opboxindex.com/cards/op09-119-monkey-d-luffy-119-manga.html
OP09-093 | Marshall D. Teach SP Gold | OP-12 | ¥248,000 ≈ $1,570 (2026-09-19) | n/a | 1,147 / 1,017 | https://opboxindex.com/cards/op09-093-marshall-d-teach-sp-gold.html
OP06-118 | Roronoa Zoro Alternate Art Manga | OP-06 | ¥198,000 ≈ $1,254 (2026-09-19) | $2,768 (n=4, 2026-09-14) | 4,644 / 4,329 | https://opboxindex.com/cards/op06-118-roronoa-zoro-alternate-art-manga.html
EB01-006 | Tony TonyChopper Alternate Art Manga | EB-01 | ¥198,000 ≈ $1,254 (2026-09-19) | $2,815 (n=3, 2026-09-14) | 2,786 / 2,478 | https://opboxindex.com/cards/eb01-006-tony-tonychopper-alternate-art-manga.html
OP01-120 | Shanks Manga | PRB-01 | ¥198,000 ≈ $1,254 (2026-09-19) | n/a | 85 / 72 | https://opboxindex.com/cards/op01-120-shanks-manga.html
OP02-013 | Portgas D. Ace Manga | PRB-01 | ¥198,000 ≈ $1,254 (2026-09-19) | n/a | 82 / 69 | https://opboxindex.com/cards/op02-013-portgas-d-ace-manga.html
OP05-060 | Monkey D. Luffy OP05-060 SP | EB-02 | ¥198,000 ≈ $1,254 (2026-09-19) | n/a | 558 / 489 | https://opboxindex.com/cards/op05-060-monkey-d-luffy-op05-060-sp.html
OP06-119 | Sanji OP06 119 Manga | PRB-02 | ¥198,000 ≈ $1,254 (2026-09-19) | $1,936 (n=4, 2026-09-14) | 2,899 / 2,375 | https://opboxindex.com/cards/op06-119-sanji-op06-119-manga.html
OP09-051 | Buggy OP09 051 SP Gold | OP-14 | ¥198,000 ≈ $1,254 (2026-09-19) | n/a | 728 / 352 | https://opboxindex.com/cards/op09-051-buggy-op09-051-sp-gold.html
OP13-118 | Monkey D. Luffy 118 Super Alternate Art | OP-13 | ¥178,000 ≈ $1,127 (2026-09-19) | n/a | 2,491 / 2,036 | https://opboxindex.com/cards/op13-118-monkey-d-luffy-118-super-alternate-art.html
OP02-013 | Portgas D. Ace Parallel Manga Alternate Art | OP-02 | ¥148,000 ≈ $937 (2026-09-19) | n/a | 4,435 / 3,810 | https://opboxindex.com/cards/op02-013-portgas-d-ace-parallel-manga-alternate-art.html
OP07-051 | Boa Hancock 051 Parallel Manga | OP-07 | ¥148,000 ≈ $937 (2026-09-19) | $1,971 (n=10, 2026-09-14) | 5,357 / 4,646 | https://opboxindex.com/cards/op07-051-boa-hancock-051-parallel-manga.html
OP09-004 | Shanks 004 Manga | OP-09 | ¥148,000 ≈ $937 (2026-09-19) | $1,601 (n=10, 2026-09-14) | 2,625 / 2,031 | https://opboxindex.com/cards/op09-004-shanks-004-manga.html
OP09-093 | Marshall D. Teach 093 Manga | OP-09 | ¥148,000 ≈ $937 (2026-09-19) | n/a | 2,503 / 2,137 | https://opboxindex.com/cards/op09-093-marshall-d-teach-093-manga.html
OP11-118 | Monkey D. Luffy 118 Manga | OP-11 | ¥148,000 ≈ $937 (2026-09-19) | $1,630 (n=20, 2026-09-14) | 4,356 / 3,793 | https://opboxindex.com/cards/op11-118-monkey-d-luffy-118-manga.html
OP16-065 | Sakazuki (Manga) | OP-16 | ¥148,000 ≈ $937 (2026-09-19) | n/a | 592 / 551 | https://opboxindex.com/cards/op16-065-sakazuki-manga.html
