date,kind,auctions,sold,sell_through_pct,median_price_usd,median_bids,is_partial
2026-07-20,all,550,118,21.5,20.5,5,false
2026-07-20,card,544,114,21,20.5,5,false
2026-07-20,pack,6,4,66.7,19,9,false
2026-07-21,all,843,298,35.3,15.25,5.5,false
2026-07-21,box,6,5,83.3,558.97,21,false
2026-07-21,card,821,281,34.2,14.5,5,false
2026-07-21,pack,16,12,75,18.5,10.5,false
2026-07-22,all,794,326,41.1,15.5,7,false
2026-07-22,box,10,8,80,295,11,false
2026-07-22,card,752,301,40,15,7,false
2026-07-22,pack,32,17,53.1,14.53,8,false
2026-07-23,all,772,276,35.8,12,7,false
2026-07-23,box,3,3,100,1152,22,false
2026-07-23,card,733,249,34,13.5,6.5,false
2026-07-23,pack,35,24,68.6,3.56,12,false
2026-07-24,all,344,151,43.9,17,8,true
2026-07-24,box,1,0,0,,,true
2026-07-24,card,327,139,42.5,18.5,8,true
2026-07-24,pack,15,11,73.3,2.67,7.5,true
2026-07-25,missing,,,,,,true
2026-07-26,missing,,,,,,true
2026-07-27,all,91,21,23.1,27.5,11,true
2026-07-27,box,1,1,100,,,true
2026-07-27,card,89,19,21.3,35,10,true
2026-07-27,pack,1,1,100,2.25,13,true
2026-07-28,all,547,168,30.7,13.29,5,false
2026-07-28,box,5,4,80,667.5,16.5,false
2026-07-28,card,497,129,26,16,5,false
2026-07-28,pack,45,35,77.8,3.83,6,false
2026-07-29,all,755,230,30.5,28,8,true
2026-07-29,box,4,4,100,317,9,true
2026-07-29,card,706,202,28.6,31,8,true
2026-07-29,pack,44,23,52.3,13.5,9,true
2026-07-30,all,711,218,30.7,41,8,false
2026-07-30,box,5,5,100,650,8,false
2026-07-30,card,679,194,28.6,41,8,false
2026-07-30,pack,27,19,70.4,7.65,9,false
2026-07-31,all,892,220,24.7,22.26,5,false
2026-07-31,box,15,14,93.3,245.75,23.5,false
2026-07-31,card,847,188,22.2,22.26,4.5,false
2026-07-31,pack,28,17,60.7,11.25,9,false
2026-08-01,all,882,265,30,20.5,8,false
2026-08-01,box,6,5,83.3,227.5,12,false
2026-08-01,card,837,239,28.6,22.5,7,false
2026-08-01,pack,39,21,53.8,3.25,12,false
2026-08-02,all,1222,425,34.8,22.5,7,false
2026-08-02,box,7,7,100,947.57,30,false
2026-08-02,card,1145,381,33.3,23.38,6,false
2026-08-02,pack,68,36,52.9,3.15,7.5,false
2026-08-03,all,777,234,30.1,17.77,7,true
2026-08-03,box,4,2,50,360.5,9.5,true
2026-08-03,card,739,208,28.1,18.98,7,true
2026-08-03,pack,34,24,70.6,11,8,true
2026-08-04,all,866,306,35.3,18.5,7,false
2026-08-04,box,6,4,66.7,2787.5,27,false
2026-08-04,card,830,282,34,18.5,8,false
2026-08-04,pack,30,20,66.7,14.55,4.5,false
2026-08-05,all,889,317,35.7,20,7,false
2026-08-05,box,5,4,80,398.8,18,false
2026-08-05,card,846,292,34.5,20.5,7,false
2026-08-05,pack,38,21,55.3,8.66,9.5,false
2026-08-06,all,568,188,33.1,17.49,7,true
2026-08-06,box,3,3,100,243.5,11,true
2026-08-06,card,553,175,31.6,17.49,6,true
2026-08-06,pack,12,10,83.3,11,11,true
2026-08-07,all,1025,267,26,20.5,6,false
2026-08-07,box,8,6,75,393.8,22.5,false
2026-08-07,card,974,229,23.5,25,5,false
2026-08-07,pack,40,30,75,2.98,11,false
2026-08-08,all,1129,387,34.3,16.5,4,false
2026-08-08,box,3,2,66.7,184.14,12.5,false
2026-08-08,card,1061,339,32,25,4,false
2026-08-08,pack,65,46,70.8,4.25,8,false
2026-08-09,all,1238,442,35.7,20,7,false
2026-08-09,box,4,4,100,313.99,17,false
2026-08-09,card,1176,403,34.3,20.5,6,false
2026-08-09,pack,58,35,60.3,9,12,false
2026-08-10,all,1104,357,32.3,24.5,8,false
2026-08-10,box,7,7,100,265,21,false
2026-08-10,card,1047,312,29.8,28.98,7,false
2026-08-10,pack,50,38,76,2.58,11,false
2026-08-11,all,1101,371,33.7,15,6,false
2026-08-11,box,8,6,75,485,10,false
2026-08-11,card,1060,342,32.3,15.5,6,false
2026-08-11,pack,33,23,69.7,5.73,14,false
2026-08-12,all,1064,382,35.9,11.61,5,false
2026-08-12,box,20,19,95,386.88,33,false
2026-08-12,card,998,336,33.7,11.5,5,false
2026-08-12,pack,46,27,58.7,4.63,8,false
2026-08-13,all,805,277,34.4,20.5,8,false
2026-08-13,box,8,6,75,512,29.5,false
2026-08-13,card,771,251,32.6,22.5,7,false
2026-08-13,pack,23,17,73.9,7.58,8,false
2026-08-14,all,1077,269,25,18.5,6,false
2026-08-14,box,6,6,100,506.5,15,false
2026-08-14,card,1044,242,23.2,19.08,6,false
2026-08-14,pack,26,20,76.9,9.5,10.5,false
2026-08-15,all,1091,323,29.6,20.5,6,false
2026-08-15,box,2,2,100,303.75,28,false
2026-08-15,card,1036,297,28.7,24,5.5,false
2026-08-15,pack,53,24,45.3,4.25,7,false
2026-08-16,all,1298,385,29.7,20.5,7,false
2026-08-16,box,20,16,80,161.5,22,false
2026-08-16,card,1194,319,26.7,19.63,6,false
2026-08-16,pack,82,49,59.8,15.5,10,false
2026-08-17,all,946,306,32.3,17,7,false
2026-08-17,box,6,5,83.3,270,2,false
2026-08-17,card,886,261,29.5,20.68,7,false
2026-08-17,pack,54,40,74.1,4.25,8,false
2026-08-18,all,1002,422,42.1,26.01,8,false
2026-08-18,box,8,6,75,989,24,false
2026-08-18,card,936,376,40.2,30,9,false
2026-08-18,pack,54,36,66.7,6.5,5,false
2026-08-19,all,855,228,26.7,20.5,8,false
2026-08-19,box,2,1,50,243,21,false
2026-08-19,card,812,206,25.4,27,8,false
2026-08-19,pack,38,19,50,9.99,10,false
2026-08-20,all,960,303,31.6,17,7,false
2026-08-20,box,3,2,66.7,205,21,false
2026-08-20,card,919,279,30.4,17.5,7,false
2026-08-20,pack,38,22,57.9,4.04,7.5,false
2026-08-21,all,1136,199,17.5,30,6,false
2026-08-21,box,8,7,87.5,398.75,18.5,false
2026-08-21,card,1097,173,15.8,34.5,5.5,false
2026-08-21,pack,30,18,60,3.58,7,false
2026-08-22,all,813,232,28.5,23.5,9,true
2026-08-22,box,6,4,66.7,30.5,2,true
2026-08-22,card,766,204,26.6,27,9,true
2026-08-22,pack,41,24,58.5,4.25,7,true
2026-08-23,all,1279,356,27.8,10.5,6,false
2026-08-23,box,9,4,44.4,467.51,24,false
2026-08-23,card,1216,319,26.2,11.1,5,false
2026-08-23,pack,53,33,62.3,5.58,14,false
2026-08-24,all,1045,414,39.6,22.5,8,false
2026-08-24,box,3,3,100,217,9,false
2026-08-24,card,970,360,37.1,27,9,false
2026-08-24,pack,72,51,70.8,3.65,3,false
2026-08-25,all,1024,411,40.1,17.88,8,false
2026-08-25,box,6,5,83.3,261.78,26,false
2026-08-25,card,978,386,39.5,18.75,8,false
2026-08-25,pack,39,19,48.7,5.33,12,false
2026-08-26,all,868,249,28.7,10.5,5,false
2026-08-26,box,6,4,66.7,807.19,25.5,false
2026-08-26,card,810,209,25.8,13,5,false
2026-08-26,pack,50,35,70,5.17,7,false
2026-08-27,all,357,201,,,,true
2026-08-27,box,1,1,,,,true
2026-08-27,card,336,185,,,,true
2026-08-27,pack,20,15,,,,true
2026-08-28,all,723,198,27.4,14.5,8,true
2026-08-28,box,3,3,100,2400,29.5,true
2026-08-28,card,680,168,24.7,20.02,8,true
2026-08-28,pack,40,27,67.5,5.5,9,true
2026-08-29,all,557,161,28.9,14.62,5,true
2026-08-29,box,7,5,71.4,865,11.5,true
2026-08-29,card,525,144,27.4,14.91,5,true
2026-08-29,pack,25,12,48,8.75,6,true
2026-08-30,all,1437,505,35.1,25.14,8,false
2026-08-30,box,12,9,75,332,36,false
2026-08-30,card,1351,452,33.5,26,7,false
2026-08-30,pack,70,41,58.6,6.4,11,false
2026-08-31,all,1718,873,50.8,19.99,8,true
2026-08-31,box,19,12,63.2,357.5,19,true
2026-08-31,card,1592,792,49.7,20,8,true
2026-08-31,pack,104,66,63.5,10.45,12,true
