set_code,set_name_en,edition,psa_total,psa10_rate_pct,psa_weekly_add,psa_total_as_of,psa_weekly_add_as_of,cgc_total,cgc_total_as_of,cgc_pristine10,cgc_gem_mint10,cgc_grade_split_as_of,tag_total,tag_total_as_of,tag_10,tag_10p,tag_grade_split_as_of
OP-01,Romance Dawn,japanese,59003,90,573,2026-09-13,2026-09-09,6899,2026-09-11,2669,2406,2026-08-03,274,2026-09-14,176,4,2026-08-03
OP-01,Romance Dawn,english,48971,84.5,409,2026-09-13,2026-09-13,4331,2026-09-11,1550,1426,2026-08-03,584,2026-09-14,355,7,2026-08-03
OP-02,Paramount War,japanese,29320,89.6,231,2026-09-13,2026-09-09,3772,2026-09-11,1057,1358,2026-08-03,154,2026-09-14,86,0,2026-08-03
OP-02,Paramount War,english,21967,86.2,103,2026-09-13,2026-09-13,2832,2026-09-11,1108,965,2026-08-03,290,2026-09-14,178,0,2026-08-03
OP-03,Pillars of Strength,japanese,25391,88,209,2026-09-13,2026-09-09,2426,2026-09-11,806,836,2026-08-03,199,2026-09-14,120,0,2026-08-03
OP-03,Pillars of Strength,english,17898,82.6,58,2026-09-13,2026-09-13,1660,2026-09-11,479,659,2026-08-03,290,2026-09-14,168,3,2026-08-03
OP-04,Kingdoms of Intrigue,japanese,32245,91,262,2026-09-13,2026-09-09,3260,2026-09-11,1123,986,2026-08-03,245,2026-09-14,153,3,2026-08-03
OP-04,Kingdoms of Intrigue,english,26135,87.6,153,2026-09-13,2026-09-13,2740,2026-09-11,910,1021,2026-08-03,379,2026-09-14,249,16,2026-08-03
OP-05,Awakening of the New Era,japanese,76238,88.5,984,2026-09-13,2026-09-09,8909,2026-09-11,3321,3119,2026-08-03,580,2026-09-14,402,5,2026-08-03
OP-05,Awakening of the New Era,english,56286,88.9,347,2026-09-13,2026-09-13,4794,2026-09-11,2116,1615,2026-08-03,963,2026-09-14,640,79,2026-08-03
OP-06,Wings of the Captain,japanese,36674,93.8,251,2026-09-13,2026-09-09,7277,2026-09-11,3228,2599,2026-08-03,400,2026-09-14,274,15,2026-08-03
OP-06,Wings of the Captain,english,39414,90.4,288,2026-09-13,2026-09-13,4355,2026-09-11,2052,1339,2026-08-03,792,2026-09-14,576,22,2026-08-03
OP-07,500 Years in the Future,japanese,36597,92.2,450,2026-09-13,2026-09-09,7022,2026-09-11,2537,2767,2026-08-03,418,2026-09-14,281,12,2026-08-03
OP-07,500 Years in the Future,english,33233,89.6,234,2026-09-13,2026-09-13,3984,2026-09-11,1699,1416,2026-08-03,777,2026-09-14,533,29,2026-08-03
OP-08,Two Legends,japanese,24770,92.3,351,2026-09-13,2026-09-09,3763,2026-09-11,1487,1186,2026-08-03,389,2026-09-14,276,5,2026-08-03
OP-08,Two Legends,english,34521,87.2,292,2026-09-13,2026-09-13,3034,2026-09-11,1392,916,2026-08-03,909,2026-09-14,630,44,2026-08-03
OP-09,Emperors in the New World,japanese,73988,89.3,1042,2026-09-13,2026-09-09,12378,2026-09-11,4496,3797,2026-08-03,1023,2026-09-14,685,34,2026-08-03
OP-09,Emperors in the New World,english,55071,88.2,477,2026-09-13,2026-09-13,3276,2026-09-11,1353,960,2026-08-03,1684,2026-09-14,1180,120,2026-08-03
OP-10,Royal Blood,japanese,15726,87.8,246,2026-09-13,2026-09-09,3117,2026-09-11,1152,858,2026-08-03,469,2026-09-14,262,5,2026-08-03
OP-10,Royal Blood,english,29713,87.1,292,2026-09-13,2026-09-13,2569,2026-09-11,1240,586,2026-08-03,969,2026-09-14,635,83,2026-08-03
OP-11,A Fist of Divine Speed,japanese,31498,83.5,725,2026-09-13,2026-09-09,3159,2026-09-11,1315,853,2026-08-03,756,2026-09-14,533,23,2026-08-03
OP-11,A Fist of Divine Speed,english,50226,85.8,486,2026-09-13,2026-09-13,2576,2026-09-11,1204,630,2026-08-03,1405,2026-09-14,981,54,2026-08-03
OP-12,Legacy of the Master,japanese,15790,86.5,306,2026-09-13,2026-09-09,2429,2026-09-11,975,647,2026-08-03,426,2026-09-14,272,10,2026-08-03
OP-12,Legacy of the Master,english,47828,87.4,487,2026-09-13,2026-09-13,3181,2026-09-11,1523,742,2026-08-03,1567,2026-09-14,1038,136,2026-08-03
OP-13,Carrying on His Will,japanese,51205,85.1,1231,2026-09-13,2026-09-09,7385,2026-09-11,3031,1780,2026-08-03,1163,2026-09-14,758,21,2026-08-03
OP-13,Carrying on His Will,english,92466,86.6,1202,2026-09-13,2026-09-13,5941,2026-09-11,2642,1455,2026-08-03,2413,2026-09-14,1678,106,2026-08-03
OP-14,The Azure Sea's Seven,japanese,17269,86.4,582,2026-09-13,2026-09-09,3237,2026-09-11,1262,853,2026-08-03,492,2026-09-14,284,3,2026-08-03
OP-14,The Azure Sea's Seven,english,,,,,,4233,2026-09-11,2036,990,2026-08-03,1795,2026-09-14,1174,115,2026-08-03
