set_code,set_name_en,set_name_ko,english_release_date,canonical_url,jp_sold_median_usd,jp_sold_p25_usd,jp_sold_p75_usd,jp_sold_sample_size,jp_sold_sample_collected_on,jp_active_ask_median_usd,jp_active_ask_p15_usd,jp_active_ask_p85_usd,jp_active_listing_count,jp_active_observed_on,en_sold_median_usd,en_sold_p25_usd,en_sold_p75_usd,en_sold_sample_size,en_sold_sample_collected_on,en_active_ask_median_usd,en_active_ask_p15_usd,en_active_ask_p85_usd,en_active_listing_count,en_active_observed_on
OP-01,Romance Dawn,로맨스 던,2022-12-02,https://opboxindex.com/sets/op-01.html,301,284,358,16,2026-09-03,325.02,286.24,445.31,14,2026-09-11,1491,1415,1592,10,2026-09-10,2750,450,5500,21,2026-09-11
OP-02,Paramount War,정상결전,2023-03-10,https://opboxindex.com/sets/op-02.html,147,125,168,6,2026-07-06,178.89,149.99,219.99,13,2026-09-11,571,543,579,10,2026-09-07,675.59,550,1000,17,2026-09-11
OP-03,Pillars of Strength,강대한 적,2023-06-30,https://opboxindex.com/sets/op-03.html,125,111,157,7,2026-09-03,149.99,129.99,184.99,7,2026-09-11,571,543,594,14,2026-08-30,639.95,575,899.99,13,2026-09-11
OP-04,Kingdoms of Intrigue,모략의 왕국,2023-09-22,https://opboxindex.com/sets/op-04.html,175,125,195,9,2026-08-26,198.99,145,538,9,2026-09-11,497,480,509,15,2026-08-30,599,500,699.99,14,2026-09-11
OP-05,Awakening of the New Era,신시대의 주역,2023-12-08,https://opboxindex.com/sets/op-05.html,172,159,250,11,2026-09-07,151.89,149.99,300,8,2026-09-11,1099,1047,1132,22,2026-09-10,1200,435.91,2361.81,10,2026-09-11
OP-06,Wings of the Captain,쌍벽의 패자,2024-03-15,https://opboxindex.com/sets/op-06.html,148,135,180,6,2026-09-07,229.99,197.28,300,8,2026-09-11,313,286,378,16,2026-09-09,429,385,500,17,2026-09-11
OP-07,500 Years in the Future,500년 후의 미래,2024-06-28,https://opboxindex.com/sets/op-07.html,80,80,98,13,2026-09-05,,,,,,264,249,350,24,2026-09-10,356.37,245.93,653.47,10,2026-09-11
OP-08,Two Legends,두 개의 전설,2024-09-13,https://opboxindex.com/sets/op-08.html,79,75,93,11,2026-09-07,109,74,114.99,10,2026-09-11,248,230,259,22,2026-09-09,299.99,249.99,399.99,15,2026-09-11
OP-09,Emperors in the New World,새로운 황제,2024-12-13,https://opboxindex.com/sets/op-09.html,133,124,143,8,2026-09-03,129.95,104.89,150,7,2026-09-11,639,572,656,23,2026-09-10,700,650,899.99,26,2026-09-11
OP-10,Royal Blood,왕족의 혈통,2025-03-21,https://opboxindex.com/sets/op-10.html,85,76,101,10,2026-09-06,107.32,84.08,126.99,15,2026-09-11,250,236,262,24,2026-09-10,269.88,250,300,19,2026-09-11
OP-11,A Fist of Divine Speed,신속의 권,2025-06-06,https://opboxindex.com/sets/op-11.html,120,103,136,12,2026-09-08,145,139.99,150.29,5,2026-09-11,591,573,608,19,2026-09-07,648,589,750,17,2026-09-11
OP-12,Legacy of the Master,거장의 유산,2025-08-22,https://opboxindex.com/sets/op-12.html,105,86,113,14,2026-08-24,130,129.95,172,3,2026-09-11,275,264,289,23,2026-09-07,296.99,270,388.85,19,2026-09-11
OP-13,Carrying on His Will,계승되는 의지,2025-11-07,https://opboxindex.com/sets/op-13.html,130,129,152,23,2026-09-04,168.37,129.99,228.98,12,2026-09-11,491,478,507,111,2026-09-10,586.87,510,680.12,16,2026-09-11
OP-14,The Azure Sea's Seven,푸른 바다의 칠인,2026-01-16,https://opboxindex.com/sets/op-14.html,92,89,101,13,2026-09-06,115,92,132.4,14,2026-09-11,270,267,272,17,2026-09-10,299.95,269.99,375,15,2026-09-11
OP-15,Adventure on Kami's Island,카미의 섬의 모험,2026-04-03,https://opboxindex.com/sets/op-15.html,107,91,117,14,2026-09-01,110,99.59,139.99,13,2026-09-11,260,242,279,18,2026-09-08,290,39.99,369.69,10,2026-09-11
OP-16,The Time of Battle,결전의 시간,2026-06-12,https://opboxindex.com/sets/op-16.html,108,107,116,10,2026-09-09,128.8,115,160,20,2026-09-11,222,208,238,93,2026-09-10,240,229.99,258.88,7,2026-09-11
OP-17,The World's Strongest Warriors,세계 최강의 전사들,2026-08-28,https://opboxindex.com/sets/op-17.html,139,133,159,55,2026-09-10,148.45,129.99,229.99,24,2026-09-11,365,350,390,544,2026-09-10,436.58,369.46,472.92,4,2026-09-11
EB-01,Memorial Collection,메모리얼 컬렉션,2024-05-03,https://opboxindex.com/sets/eb-01.html,128,109,140,8,2026-08-01,179.99,155,199.99,5,2026-09-11,901,849,955,12,2026-09-08,1000,922.5,1250,7,2026-09-11
EB-02,Anime 25th Collection,애니메이션 25주년 컬렉션,2025-05-09,https://opboxindex.com/sets/eb-02.html,135,134,168,14,2026-08-26,229.95,155,299.99,5,2026-09-11,837,828,872,7,2026-09-10,845,829.99,899.99,5,2026-09-11
EB-03,Heroine's Edition,히로인 에디션,2026-02-20,https://opboxindex.com/sets/eb-03.html,124,115,141,12,2026-08-30,159.9,115.89,199.99,10,2026-09-11,341,326,371,16,2026-09-10,375,350,400,12,2026-09-11
PRB-01,Premium Booster,프리미엄 부스터 vol.1,2024-11-08,https://opboxindex.com/sets/prb-01.html,155,149,159,12,2026-09-10,177.8,144.99,325,15,2026-09-11,949,902,994,13,2026-09-08,1124.95,999.99,1299,8,2026-09-11
PRB-02,Premium Booster,프리미엄 부스터 vol.2,2025-10-03,https://opboxindex.com/sets/prb-02.html,99,88,100,10,2026-09-10,105.99,69,108.99,8,2026-09-11,370,338,385,15,2026-09-10,420,399,499.95,16,2026-09-11
